ant 1.10.18
aria2 1.37.0_2
aws-sam-cli 1.166.1
azure-cli 2.90.0
bazelisk 1.29.0
bicep 0.46.1
brotli 1.2.0
c-ares 1.34.8
ca-certificates 2026-08-13
cairo 1.18.4
carthage 0.40.0
certifi 2026.7.22
cffi 2.1.1
cmake 4.4.3
cryptography 50.0.1
curl 8.22.0
fontconfig 2.18.3
freetype 2.14.3
gcc@13 13.4.0
gcc@14 14.4.0
gcc@15 15.3.0
gdbm 1.26
geckodriver 0.37.1
gettext 1.0
gh 2.100.0
giflib 6.1.3
git 2.55.0
git-lfs 3.8.0
glib 2.88.3
gmp 6.3.0
gnu-tar 1.35_1
gnupg 2.5.22
gnutls 3.8.13_2
gradle 9.7.1
gradle-completion 9.7.1
graphite2 1.3.15
harfbuzz 14.4.0
hdrhistogram_c 0.11.10
icu4c@78 78.3
isl 0.28
jpeg-turbo 3.2.0
jq 1.8.2
json-c 0.19
kotlin 2.4.10
krb5 1.22.2
libassuan 3.0.2
libgcrypt 1.12.3
libgpg-error 1.61
libidn2 2.3.8
libksba 1.8.1
libmpc 1.4.1
libnghttp2 1.70.0
libnghttp3 1.18.0
libngtcp2 1.25.0
libpng 1.6.58
libpq 18.6
libpsl 0.23.3
libsodium 1.0.22
libssh2 1.11.1_4
libtasn1 4.21.0
libtiff 4.7.2
libunistring 1.4.2
libusb 1.0.30
libuv 1.52.1
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
little-cms2 2.19.1
llvm@20 20.1.8
lz4 1.10.0
lzo 2.10
maven 3.9.16
mpdecimal 4.0.1
mpfr 4.2.2
nettle 4.0
ninja 1.13.2
node@24 24.20.0
npth 1.8
oniguruma 6.9.10
openjdk 26.0.2.1
openssl@3 3.6.4
p11-kit 0.26.5
p7zip 17.06
packer 1.16.0
pcre2 10.48
perl 5.44.0
pinentry 1.3.3
pipx 1.17.2
pixman 0.46.4
pkgconf 3.0.7
pycparser 3.0
pydantic 2.13.5
python@3.14 3.14.7
readline 8.3.3
rpds-py 2026.6.3
ruby@3.4 3.4.10
rustup 1.29.0
selenium-server 4.48.0
simdjson 4.6.11
sqlite 3.53.4
swiftformat 0.63.0
tcl-tk@8 8.6.18
unxip 3.3
uvwasi 0.0.23
webp 1.6.0
wget 1.25.0
xcbeautify 3.2.1
xcodes 2.0.3
xorgproto 2025.1
xz 5.8.3
yq 4.53.6
zstd 1.5.7_1
firefox 155.0.1
google-chrome 152.0.7977.83
microsoft-edge 152.0.4191.66,f3ce034a-259c-4a0e-8187-7c6cfa8f88c9
session-manager-plugin 1.2.835.0
