REPOSITORY                                   TAG                     IMAGE ID       CREATED         SIZE
myapp                                        local                   94ff851bd582   3 days ago      174MB
debian                                       stable-slim             31ce1e774529   2 weeks ago     119MB
ghcr.io/example/demo1                        0.19.1-next-arm64       4992e0235ef5   3 weeks ago     41MB
ghcr.io/example/demo1                        latest-arm64            4992e0235ef5   3 weeks ago     41MB
ghcr.io/example/demo1                        0.19.1-next-amd64       40cff90ba89e   3 weeks ago     164MB
ghcr.io/example/demo1                        latest-amd64            40cff90ba89e   3 weeks ago     164MB
minlag/mermaid-cli                           latest                  622d99a46112   4 weeks ago     3.21GB
ubuntu                                       24.04                   9c7c756b879d   5 weeks ago     119MB
node                                         22-alpine               8c73f82fd729   5 weeks ago     232MB
ghcr.io/example/demo1                        0.17.1-next-arm64       3c103d245a15   5 weeks ago     40.7MB
ghcr.io/example/demo1                        0.17.1-next-amd64       c9942609b08e   5 weeks ago     163MB
ghcr.io/example/demo1                        0.16.1-next-amd64       d1abc0d27d43   5 weeks ago     163MB
ghcr.io/example/demo1                        0.16.1-next-arm64       35a8c213171b   5 weeks ago     40.7MB
mysql                                        8.4                     deda34fb4c99   5 weeks ago     1.12GB
ghcr.io/example/demo1                        0.15.1-next-arm64       7a1665910972   5 weeks ago     40.7MB
ghcr.io/example/demo1                        0.15.1-next-amd64       68afec93d324   5 weeks ago     163MB
ghcr.io/example/demo1                        0.10.1-next-arm64       2f98ca9b160e   8 weeks ago     40.7MB
ghcr.io/example/demo1                        0.10.1-next-amd64       38455450e8fa   8 weeks ago     163MB
postgres                                     17-alpine               01bf1364b3da   2 months ago    424MB
alpine                                       latest                  b5d29f65d9c2   2 months ago    13MB
ghcr.io/goccy/bigquery-emulator              latest                  f161b52bc94a   2 months ago    422MB
tonistiigi/binfmt                            latest                  1334150ed5e5   3 months ago    118MB
moby/buildkit                                buildx-stable-1         37c5c3cd6be7   3 months ago    355MB
ghcr.io/k1low/runn                           latest                  c938127af129   4 months ago    1.94GB
ghcr.io/k1low/runn                           v1.9.2                  c938127af129   4 months ago    1.94GB
applib                                       test                    0245d3047a98   4 months ago    156MB
postgres                                     16-alpine               eb6dd0759d4f   4 months ago    395MB
postgres                                     16                      94c9eb1f6512   5 months ago    641MB
ghcr.io/gleam-lang/gleam                     v1.15.2-erlang-alpine   48d220040815   5 months ago    187MB
myapp-cli-test                               latest                  2b1f1f6785e3   6 months ago    166MB
myapp-test                                   latest                  4f7ce05569eb   6 months ago    186MB
api-myapp                                    latest                  59945ed077a7   6 months ago    61.1MB
myapp                                        dev                     3acae599b4dd   6 months ago    49MB
demos-eventstore                             latest                  8a6297207fcc   6 months ago    67.4MB
demos-notification                           latest                  8dc27381660b   6 months ago    68.5MB
demos-album                                  latest                  606e7f4e59b3   6 months ago    68.5MB
demos-saga                                   latest                  4aa84fcab140   6 months ago    68.4MB
demos-media-command                          latest                  374cfe7b7bd6   6 months ago    60MB
demos-media-query                            latest                  36289468be54   6 months ago    55.6MB
demos-gateway                                latest                  09c9b0bad396   6 months ago    55.9MB
demos-frontend                               latest                  76f0399b0178   6 months ago    92.6MB
valalang/lint                                latest                  1b9bd3a120d7   6 months ago    256MB
fsouza/fake-gcs-server                       1.54.0                  e0e32436e7f0   6 months ago    82.3MB
fsouza/fake-gcs-server                       latest                  e0e32436e7f0   6 months ago    82.3MB
nginx                                        alpine                  727e03749faf   7 months ago    93.4MB
ghcr.io/foundry-rs/foundry                   stable                  31e09bc9e29d   8 months ago    622MB
kindest/node                                 <none>                  19b2030215cb   8 months ago    1.35GB
adobe/s3mock                                 4.11.0                  821a735833a1   9 months ago    231MB
adobe/s3mock                                 latest                  821a735833a1   9 months ago    231MB
postgres                                     13-alpine               fda3c9dc6e6b   9 months ago    384MB
koalaman/shellcheck                          stable                  dd9ac4327cad   13 months ago   20MB
mcr.microsoft.com/azure-storage/azurite      3.35.0                  c108ce4a773b   13 months ago   429MB
mcr.microsoft.com/azure-storage/azurite      latest                  c108ce4a773b   13 months ago   429MB
postgres                                     12-alpine               085f150395e7   21 months ago   382MB
ghcr.io/mermaid-js/mermaid-cli/mermaid-cli   11.4.2                  aa8a5ede4d16   21 months ago   1.92GB
