CONTAINER ID   NAME                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
d52ac7356a34   api-runn-1                             0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
68423ffc022c   api-myapp-1                            0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
accaee24e51d   datalab-bq-probe                       0.00%     342.7MiB / 61.43GiB   0.54%     37.3MB / 29.2MB   878MB / 464MB     38
a2afeaf3fa18   datalab-pg-probe                       0.00%     27.06MiB / 61.43GiB   0.04%     9.12MB / 686kB    1.22GB / 56.7MB   6
c781233c8005   datalab-mysql-probe                    0.39%     412.7MiB / 61.43GiB   0.66%     9.85MB / 1.93MB   2.3GB / 323MB     51
1e2516252d99   demo-environment-local-worker2         2.82%     1.292GiB / 61.43GiB   2.10%     648MB / 286MB     4.5GB / 832MB     298
3793087f6697   demo-environment-local-worker          1.43%     1.191GiB / 61.43GiB   1.94%     2.32GB / 569MB    5.3GB / 437MB     303
e2a31dabb7ac   demo-environment-local-control-plane   6.94%     2.359GiB / 61.43GiB   3.84%     602MB / 2.67GB    11.5GB / 38.5GB   477
bd85e74de011   buildx_buildkit_demo-local-builder     0.00%     78.03MiB / 61.43GiB   0.12%     803MB / 11.5MB    18.1GB / 14GB     39
ea59eb69a4b7   myapp-test                             0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
614ed82aaa63   demos-saga-1                           0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
2c9d58155886   demos-frontend-1                       0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
4a8652aeaad3   demos-media-query-1                    0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
02bcc9549dcf   demos-notification-1                   0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
e0de304e55ec   demos-media-command-1                  0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
de9be0a8cebb   demos-gateway-1                        0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
9a220acc2610   demos-album-1                          0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
720555905153   demos-eventstore-1                     0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
