Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00         25          0          0
loop1             0.01         0.60         0.00         0.00     759124          0          0
loop10            0.01         0.13         0.00         0.00     166299          0          0
loop11            0.00         0.00         0.00         0.00       1035          0          0
loop12            0.00         0.00         0.00         0.00       1058          0          0
loop13            0.00         0.00         0.00         0.00       1993          0          0
loop14            0.00         0.00         0.00         0.00       2038          0          0
loop15            0.00         0.00         0.00         0.00       2126          0          0
loop16            0.00         0.18         0.00         0.00     230458          0          0
loop17            0.00         0.06         0.00         0.00      71520          0          0
loop18            0.00         0.00         0.00         0.00       1034          0          0
loop19            0.00         0.00         0.00         0.00       2934          0          0
loop2             0.00         0.22         0.00         0.00     281693          0          0
loop20            0.00         0.00         0.00         0.00       2972          0          0
loop21            0.00         0.00         0.00         0.00       4554          0          0
loop22            0.00         0.00         0.00         0.00       5607          0          0
loop23            0.00         0.00         0.00         0.00       5912          0          0
loop24            0.00         0.10         0.00         0.00     132296          0          0
loop25            0.02         0.65         0.00         0.00     828198          0          0
loop26            0.00         0.01         0.00         0.00       7381          0          0
loop27            0.00         0.00         0.00         0.00       1078          0          0
loop28            0.00         0.01         0.00         0.00      13502          0          0
loop29            0.04         0.09         0.00         0.00     115598          0          0
loop3             0.00         0.00         0.00         0.00       3901          0          0
loop30            0.00         0.00         0.00         0.00       1217          0          0
loop31            0.01         0.67         0.00         0.00     848340          0          0
loop32            0.00         0.00         0.00         0.00       2097          0          0
loop33            0.00         0.00         0.00         0.00       1033          0          0
loop34            0.00         0.00         0.00         0.00       2433          0          0
loop35            0.00         0.00         0.00         0.00       1032          0          0
loop36            0.00         0.00         0.00         0.00       4495          0          0
loop37            0.00         0.00         0.00         0.00       1033          0          0
loop38            0.00         0.00         0.00         0.00       1171          0          0
loop39            0.00         0.08         0.00         0.00     102996          0          0
loop4             0.00         0.00         0.00         0.00       4149          0          0
loop40            0.02         1.03         0.00         0.00    1311618          0          0
loop41            0.00         0.00         0.00         0.00        157          0          0
loop42            0.00         0.00         0.00         0.00       3317          0          0
loop43            0.00         0.00         0.00         0.00       2032          0          0
