lo               UNKNOWN        00:00:00:00:00:00 <LOOPBACK,UP,LOWER_UP> 
eno1             UP             52:54:00:10:00:01 <BROADCAST,MULTICAST,UP,LOWER_UP> 
wlp195s0         UP             52:54:00:10:00:02 <BROADCAST,MULTICAST,UP,LOWER_UP> 
br-088d49b64243  UP             52:54:00:10:00:03 <BROADCAST,MULTICAST,UP,LOWER_UP> 
docker0          UP             52:54:00:10:00:04 <BROADCAST,MULTICAST,UP,LOWER_UP> 
br-d647a5eb3b66  DOWN           52:54:00:10:00:05 <NO-CARRIER,BROADCAST,MULTICAST,UP> 
veth0c4293d@if2  UP             52:54:00:10:00:06 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth9363d1f@if2  UP             52:54:00:10:00:07 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth5d856b9@if2  UP             52:54:00:10:00:08 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth0d5de59@if2  UP             52:54:00:10:00:09 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth3083cdb@if2  UP             52:54:00:10:00:0a <BROADCAST,MULTICAST,UP,LOWER_UP> 
vethceffd70@if2  UP             52:54:00:10:00:0b <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth65bc625@if2  UP             52:54:00:10:00:0c <BROADCAST,MULTICAST,UP,LOWER_UP> 
br-5b0a8cd9c3d6  DOWN           52:54:00:10:00:0d <NO-CARRIER,BROADCAST,MULTICAST,UP> 
