PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
-	0	com.apple.progressd
-	0	com.apple.enhancedloggingd
-	0	com.apple.cloudphotod
-	0	com.apple.MENotificationService
351	0	com.apple.Finder
491	0	com.apple.homed
2537	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
523	0	com.apple.mediaremoteagent
389	0	com.apple.FontWorker
388	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	0	com.apple.knowledgeconstructiond
708	0	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
960	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
398	0	com.apple.nsurlsessiond
2271	0	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
377	0	com.apple.iconservices.iconservicesagent
974	0	com.apple.diagnosticextensionsd
-	0	com.apple.intelligenceplatformd
2538	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
973	0	com.apple.ndoagent
360	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
406	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
563	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
697	0	com.apple.installerauthagent
-	0	com.apple.appleaccounttransparencyd
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
430	0	com.apple.ManagedSettingsAgent
477	0	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
546	0	com.apple.ThreadCommissionerService
-	0	com.apple.tipsd
-	0	com.apple.stickersd
775	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
435	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
393	0	com.apple.CommCenter
372	0	com.apple.trustd.agent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
321	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
-	0	com.apple.TrustedPeersHelper
3761	0	com.apple.mdworker.shared.0B000000-0300-0000-0000-000000000000
3557	0	com.apple.mdworker.shared.0E000000-0700-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
-	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
456	0	com.apple.replicatord
-	0	com.apple.keyboardservicesd
413	0	com.apple.accessibility.axassetsd
357	0	com.apple.quicklook.ThumbnailsAgent
2539	0	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
341	0	com.apple.WindowManager.agent
414	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.ManagedClientAgent.enrollagent
-	0	com.apple.xpc.loginitemregisterd
-	0	com.apple.webprivacyd
-	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
678	0	com.apple.voicebankingd
-	0	com.apple.gamesaved
-	0	com.apple.universalaccesscontrol
3139	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
506	0	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.arkitd
-	0	com.apple.systemprofiler
2018	0	com.apple.homeenergyd
373	0	com.apple.cloudd
-	0	com.apple.noticeboard.agent
-	0	com.apple.UserNotificationCenterAgent
402	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
433	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
-	0	com.apple.LocalAuthentication.UIAgent
983	0	com.apple.ap.adprivacyd
-	0	com.apple.callhistoryd
694	0	com.apple.ap.promotedcontentd
492	0	com.apple.apfsuseragent
-	0	com.apple.intelligencetasksd
499	0	com.apple.networkserviceproxy
349	0	com.apple.controlcenter
-	0	com.apple.contacts.postersyncd
-	0	com.apple.AMPLibraryAgent
-	0	com.openssh.ssh-agent
2019	0	com.apple.amsondevicestoraged
3774	0	com.apple.mdworker.shared.07000000-0600-0000-0000-000000000000
-	0	com.apple.tonelibraryd
-	0	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
605	0	com.apple.ctcategories.service
447	0	com.apple.ctkd
3556	0	com.apple.mdworker.shared.08000000-0700-0000-0000-000000000000
-	0	com.apple.package-script-service
3776	0	com.apple.mdworker.shared.0D000000-0200-0000-0000-000000000000
363	0	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
-	0	com.apple.mediacontinuityd
515	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
-	0	com.apple.synapse.contentlinkingd
848	0	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
501	0	com.apple.triald
367	0	com.apple.tccd
-	0	com.apple.nexusd
465	0	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
