# The following is the parsable format, which can be fed to other
# programs. Each different item in every column has an unique ID
# starting usually from zero.
# CPU,Core,Socket,Node,,L1d,L1i,L2,L3
0,0,0,0,,0,0,0,0
1,1,0,0,,1,1,1,0
2,2,0,0,,2,2,2,0
3,3,0,0,,3,3,3,0
4,4,0,0,,4,4,4,0
5,5,0,0,,5,5,5,0
6,6,0,0,,6,6,6,0
7,7,0,0,,7,7,7,0
8,8,0,0,,8,8,8,1
9,9,0,0,,9,9,9,1
10,10,0,0,,10,10,10,1
11,11,0,0,,11,11,11,1
12,12,0,0,,12,12,12,1
13,13,0,0,,13,13,13,1
14,14,0,0,,14,14,14,1
15,15,0,0,,15,15,15,1
16,0,0,0,,0,0,0,0
17,1,0,0,,1,1,1,0
18,2,0,0,,2,2,2,0
19,3,0,0,,3,3,3,0
20,4,0,0,,4,4,4,0
21,5,0,0,,5,5,5,0
22,6,0,0,,6,6,6,0
23,7,0,0,,7,7,7,0
24,8,0,0,,8,8,8,1
25,9,0,0,,9,9,9,1
26,10,0,0,,10,10,10,1
27,11,0,0,,11,11,11,1
28,12,0,0,,12,12,12,1
29,13,0,0,,13,13,13,1
30,14,0,0,,14,14,14,1
31,15,0,0,,15,15,15,1
