COMMAND     PID USER  ASSOC  XMODE        TYPE    SOURCE MNTID      INODE NAME
sh      3046865  user    exe ------         REG nvme1n1p2     0   28967338 /usr/bin/dash
sh      3046865  user    cwd ------         DIR     tmpfs     0          1 /tmp
sh      3046865  user    rtd ------         DIR nvme1n1p2     0          2 /
sh      3046865  user cgroup ------         REG      nsfs     0 4026531835 cgroup:[4026531835]
sh      3046865  user    ipc ------         REG      nsfs     0 4026531839 ipc:[4026531839]
sh      3046865  user    mnt ------         REG      nsfs     0 4026531832 mnt:[4026531832]
sh      3046865  user    net ------         REG      nsfs     0 4026531833 net:[4026531833]
sh      3046865  user    pid ------         REG      nsfs     0 4026531836 pid:[4026531836]
sh      3046865  user  pid4c ------         REG      nsfs     0 4026531836 pid:[4026531836]
sh      3046865  user   time ------         REG      nsfs     0 4026531834 time:[4026531834]
sh      3046865  user time4c ------         REG      nsfs     0 4026531834 time:[4026531834]
sh      3046865  user   user ------         REG      nsfs     0 4026531837 user:[4026531837]
sh      3046865  user    uts ------         REG      nsfs     0 4026531838 uts:[4026531838]
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28967338 /usr/bin/dash
sh      3046865  user    mem r-x---         REG nvme1n1p2     0   28967338 /usr/bin/dash
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28967338 /usr/bin/dash
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28967338 /usr/bin/dash
sh      3046865  user    mem rw----         REG nvme1n1p2     0   28967338 /usr/bin/dash
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28969888 /usr/lib/x86_64-linux-gnu/libc.so.6
sh      3046865  user    mem r-x---         REG nvme1n1p2     0   28969888 /usr/lib/x86_64-linux-gnu/libc.so.6
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28969888 /usr/lib/x86_64-linux-gnu/libc.so.6
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28969888 /usr/lib/x86_64-linux-gnu/libc.so.6
sh      3046865  user    mem rw----         REG nvme1n1p2     0   28969888 /usr/lib/x86_64-linux-gnu/libc.so.6
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28969794 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
sh      3046865  user    mem r-x---         REG nvme1n1p2     0   28969794 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28969794 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
sh      3046865  user    mem r-----         REG nvme1n1p2     0   28969794 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
sh      3046865  user    mem rw----         REG nvme1n1p2     0   28969794 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
sh      3046865  user      0 rw---- UNIX-STREAM    sockfs    12  143881759 state=connected
sh      3046865  user      1 -w----         REG     tmpfs   444  142486743 /tmp/claude-1000/lsfd-own.txt
sh      3046865  user      2 -w----         CHR     mem:3    41          5 /dev/null
