Key:                                0x242a76e0                          
ID:                                 0                                   
Owner:                              bob                                 
Permissions:                        rw-r--r--                           
Creator UID:                        1000                                
Creator user:                       bob                                 
Creator GID:                        1000                                
Creator group:                      bob                                 
UID:                                1000                                
User name:                          bob                                 
GID:                                1000                                
Group name:                         bob                                 
Last change:                        Mon Sep 14 22:30:01 2026            
Bytes used:                         0B                                  
Messages:                           0                                   
Msg sender:                         0                                   
Msg receiver:                       0                                   
