RANGE                                 SIZE  STATE REMOVABLE BLOCK
0x0000000000000000-0x000000007fffffff   2G online       yes     0
0x0000000100000000-0x000000017fffffff   2G online       yes     2
0x0000000180000000-0x00000001ffffffff   2G online       yes     3
0x0000000200000000-0x000000027fffffff   2G online       yes     4
0x0000000280000000-0x00000002ffffffff   2G online       yes     5
0x0000000300000000-0x000000037fffffff   2G online       yes     6
0x0000000380000000-0x00000003ffffffff   2G online       yes     7
0x0000000400000000-0x000000047fffffff   2G online       yes     8
0x0000000480000000-0x00000004ffffffff   2G online       yes     9
0x0000000500000000-0x000000057fffffff   2G online       yes    10
0x0000000580000000-0x00000005ffffffff   2G online       yes    11
0x0000000600000000-0x000000067fffffff   2G online       yes    12
0x0000000680000000-0x00000006ffffffff   2G online       yes    13
0x0000000700000000-0x000000077fffffff   2G online       yes    14
0x0000000780000000-0x00000007ffffffff   2G online       yes    15
0x0000000800000000-0x000000087fffffff   2G online       yes    16
0x0000000880000000-0x00000008ffffffff   2G online       yes    17
0x0000000900000000-0x000000097fffffff   2G online       yes    18
0x0000000980000000-0x00000009ffffffff   2G online       yes    19
0x0000000a00000000-0x0000000a7fffffff   2G online       yes    20
0x0000000a80000000-0x0000000affffffff   2G online       yes    21
0x0000000b00000000-0x0000000b7fffffff   2G online       yes    22
0x0000000b80000000-0x0000000bffffffff   2G online       yes    23
0x0000000c00000000-0x0000000c7fffffff   2G online       yes    24
0x0000000c80000000-0x0000000cffffffff   2G online       yes    25
0x0000000d00000000-0x0000000d7fffffff   2G online       yes    26
0x0000000d80000000-0x0000000dffffffff   2G online       yes    27
0x0000000e00000000-0x0000000e7fffffff   2G online       yes    28
0x0000000e80000000-0x0000000effffffff   2G online       yes    29
0x0000000f00000000-0x0000000f7fffffff   2G online       yes    30
0x0000000f80000000-0x0000000fffffffff   2G online       yes    31
0x0000001000000000-0x000000107fffffff   2G online       yes    32

Memory block size:                  2G
Total online memory:               64G
Total offline memory:               0B
