COMMAND       PID     TID TASKCMD               USER   FD      TYPE             DEVICE   SIZE/OFF       NODE NAME
polkitd      1951    2089 gmain              polkitd NOFD      0000                                          /proc/1951/task/2089/fd (opendir: Permission denied)
polkitd      1951    2094 pool-spaw          polkitd  cwd   unknown                                          /proc/1951/task/2094/cwd (readlink: Permission denied)
polkitd      1951    2094 pool-spaw          polkitd  rtd   unknown                                          /proc/1951/task/2094/root (readlink: Permission denied)
polkitd      1951    2094 pool-spaw          polkitd  txt   unknown                                          /proc/1951/task/2094/exe (readlink: Permission denied)
polkitd      1951    2094 pool-spaw          polkitd NOFD      0000                                          /proc/1951/task/2094/fd (opendir: Permission denied)
polkitd      1951    2097 gdbus              polkitd  cwd   unknown                                          /proc/1951/task/2097/cwd (readlink: Permission denied)
polkitd      1951    2097 gdbus              polkitd  rtd   unknown                                          /proc/1951/task/2097/root (readlink: Permission denied)
polkitd      1951    2097 gdbus              polkitd  txt   unknown                                          /proc/1951/task/2097/exe (readlink: Permission denied)
polkitd      1951    2097 gdbus              polkitd NOFD      0000                                          /proc/1951/task/2097/fd (opendir: Permission denied)
accounts-    1968    2037 pool-spaw             root  cwd   unknown                                          /proc/1968/task/2037/cwd (readlink: Permission denied)
accounts-    1968    2037 pool-spaw             root  rtd   unknown                                          /proc/1968/task/2037/root (readlink: Permission denied)
accounts-    1968    2037 pool-spaw             root  txt   unknown                                          /proc/1968/task/2037/exe (readlink: Permission denied)
accounts-    1968    2037 pool-spaw             root NOFD      0000                                          /proc/1968/task/2037/fd (opendir: Permission denied)
accounts-    1968    2038 gmain                 root  cwd   unknown                                          /proc/1968/task/2038/cwd (readlink: Permission denied)
accounts-    1968    2038 gmain                 root  rtd   unknown                                          /proc/1968/task/2038/root (readlink: Permission denied)
accounts-    1968    2038 gmain                 root  txt   unknown                                          /proc/1968/task/2038/exe (readlink: Permission denied)
accounts-    1968    2038 gmain                 root NOFD      0000                                          /proc/1968/task/2038/fd (opendir: Permission denied)
accounts-    1968    2100 gdbus                 root  cwd   unknown                                          /proc/1968/task/2100/cwd (readlink: Permission denied)
