Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

10:53:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:53:59     all   17.84    0.00    3.71    0.00    0.00    0.22    0.00    0.00    0.00   78.23
10:53:59       0   22.68    0.00    3.09    0.00    0.00    2.06    0.00    0.00    0.00   72.16
10:53:59       1   18.37    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   77.55
10:53:59       2   14.14    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   80.81
10:53:59       3   23.96    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   70.83
10:53:59       4   17.82    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   77.23
10:53:59       5   20.62    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   75.26
10:53:59       6   16.83    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   78.22
10:53:59       7   18.37    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   76.53
10:53:59       8   15.84    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   79.21
10:53:59       9   15.15    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   81.82
10:53:59      10   19.59    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   77.32
10:53:59      11   17.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
10:53:59      12   15.46    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   80.41
10:53:59      13   17.71    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   79.17
10:53:59      14   19.39    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   77.55
10:53:59      15   14.14    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   81.82
10:53:59      16   22.22    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   74.75
10:53:59      17   16.16    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   80.81
10:53:59      18   15.15    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   79.80
10:53:59      19   18.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
10:53:59      20   18.18    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   77.78
10:53:59      21   16.49    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   80.41
10:53:59      22   16.16    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   80.81
10:53:59      23   18.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
10:53:59      24   20.20    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   75.76
10:53:59      25   17.17    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   78.79
10:53:59      26   18.18    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   77.78
10:53:59      27   18.18    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   77.78
10:53:59      28   20.41    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   77.55
10:53:59      29   16.33    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   80.61
10:53:59      30   17.35    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   78.57
10:53:59      31   16.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   17.84    0.00    3.71    0.00    0.00    0.22    0.00    0.00    0.00   78.23
Average:       0   22.68    0.00    3.09    0.00    0.00    2.06    0.00    0.00    0.00   72.16
Average:       1   18.37    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   77.55
Average:       2   14.14    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   80.81
Average:       3   23.96    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   70.83
Average:       4   17.82    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   77.23
Average:       5   20.62    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   75.26
Average:       6   16.83    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   78.22
Average:       7   18.37    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   76.53
Average:       8   15.84    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   79.21
Average:       9   15.15    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   81.82
Average:      10   19.59    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   77.32
Average:      11   17.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
Average:      12   15.46    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   80.41
Average:      13   17.71    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   79.17
Average:      14   19.39    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   77.55
Average:      15   14.14    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   81.82
Average:      16   22.22    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   74.75
Average:      17   16.16    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   80.81
Average:      18   15.15    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   79.80
Average:      19   18.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
Average:      20   18.18    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   77.78
Average:      21   16.49    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   80.41
Average:      22   16.16    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   80.81
Average:      23   18.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
Average:      24   20.20    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   75.76
Average:      25   17.17    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   78.79
Average:      26   18.18    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   77.78
