Linux 6.8.0-generic (host01) 	09/06/26 	_x86_64_	(32 CPU)

19:36:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:15     all    2.81    0.00    0.50    0.04    0.00    0.04    0.00    0.00    0.00   96.60
19:36:15       0    6.24    0.03    1.37    0.08    0.00    0.55    0.00    0.00    0.00   91.73
19:36:15       1    3.67    0.00    0.75    0.07    0.00    0.24    0.00    0.00    0.00   95.27
19:36:15       2    2.72    0.00    0.50    0.06    0.00    0.09    0.00    0.00    0.00   96.63
19:36:15       3    3.06    0.00    0.54    0.06    0.00    0.04    0.00    0.00    0.00   96.30
19:36:15       4    2.74    0.00    0.48    0.06    0.00    0.02    0.00    0.00    0.00   96.70
19:36:15       5    6.23    0.03    1.25    0.08    0.00    0.03    0.00    0.00    0.00   92.38
19:36:15       6    2.61    0.00    0.46    0.05    0.00    0.02    0.00    0.00    0.00   96.86
19:36:15       7    3.88    0.01    0.73    0.07    0.00    0.03    0.00    0.00    0.00   95.29
19:36:15       8    2.61    0.00    0.64    0.04    0.00    0.02    0.00    0.00    0.00   96.69
19:36:15       9    2.36    0.00    0.50    0.04    0.00    0.01    0.00    0.00    0.00   97.08
19:36:15      10    2.13    0.00    0.38    0.04    0.00    0.01    0.00    0.00    0.00   97.44
19:36:15      11    2.03    0.00    0.34    0.03    0.00    0.01    0.00    0.00    0.00   97.59
19:36:15      12    2.14    0.00    0.38    0.03    0.00    0.01    0.00    0.00    0.00   97.44
19:36:15      13    2.83    0.00    0.72    0.05    0.00    0.02    0.00    0.00    0.00   96.38
19:36:15      14    2.44    0.00    0.51    0.04    0.00    0.01    0.00    0.00    0.00   96.99
19:36:15      15    2.08    0.00    0.36    0.03    0.00    0.01    0.00    0.00    0.00   97.52
19:36:15      16    4.73    0.02    0.67    0.06    0.00    0.03    0.00    0.00    0.00   94.49
19:36:15      17    2.96    0.00    0.44    0.06    0.00    0.01    0.00    0.00    0.00   96.53
19:36:15      18    2.39    0.00    0.38    0.05    0.00    0.01    0.00    0.00    0.00   97.17
19:36:15      19    2.51    0.00    0.37    0.05    0.00    0.01    0.00    0.00    0.00   97.06
19:36:15      20    2.35    0.00    0.35    0.04    0.00    0.01    0.00    0.00    0.00   97.25
19:36:15      21    3.60    0.01    0.53    0.05    0.00    0.01    0.00    0.00    0.00   95.79
19:36:15      22    2.17    0.00    0.32    0.04    0.00    0.01    0.00    0.00    0.00   97.46
19:36:15      23    2.65    0.00    0.38    0.04    0.00    0.01    0.00    0.00    0.00   96.92
19:36:15      24    2.30    0.00    0.42    0.04    0.00    0.01    0.00    0.00    0.00   97.23
19:36:15      25    2.25    0.00    0.40    0.03    0.00    0.01    0.00    0.00    0.00   97.31
19:36:15      26    2.03    0.00    0.32    0.03    0.00    0.01    0.00    0.00    0.00   97.61
19:36:15      27    1.96    0.00    0.29    0.03    0.00    0.01    0.00    0.00    0.00   97.72
19:36:15      28    2.04    0.00    0.30    0.03    0.00    0.01    0.00    0.00    0.00   97.62
19:36:15      29    2.21    0.00    0.35    0.03    0.00    0.01    0.00    0.00    0.00   97.41
19:36:15      30    2.11    0.00    0.31    0.03    0.00    0.01    0.00    0.00    0.00   97.55
19:36:15      31    1.92    0.00    0.28    0.02    0.00    0.00    0.00    0.00    0.00   97.77
