Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:24:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:24:13     all    0.53    0.09    0.66    0.06    0.00    0.00    0.00    0.00    0.00   98.65
03:24:13       0    1.02    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   88.78
03:24:13       1    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:24:13       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:13       4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:24:13       5    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
03:24:13       6    0.00    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   97.98
03:24:13       7    1.98    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:24:13       8    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:13       9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:24:13      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:13      12    0.98    0.98    0.98    0.00    0.00    0.00    0.00    0.00    0.00   97.06
03:24:13      13    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:24:13      14    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:13      15    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:24:13      16    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:24:13      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      20    0.99    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
03:24:13      21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:13      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      26    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:24:13      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      29    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:24:13      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:13      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:24:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:24:14     all    0.53    0.03    0.13    0.03    0.00    0.00    0.00    0.00    0.00   99.28
03:24:14       0    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
03:24:14       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:14       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:14       3    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:14       5    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:24:14       6    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:24:14       7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:14       8    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:14       9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:14      10    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:24:14      11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:14      12    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:14      13    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:24:14      14    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:14      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:14      16    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
