Linux 6.8.0-generic (host01) 	09/06/26 	_x86_64_	(32 CPU)

19:36:17      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
19:36:17        0         1    0.01    0.01    0.00    0.00    0.03    16  systemd
19:36:17        0         2    0.00    0.00    0.00    0.00    0.00    21  kthreadd
19:36:17        0        14    0.00    0.01    0.00    0.02    0.01     0  ksoftirqd/0
19:36:17        0        15    0.00    0.11    0.00    0.04    0.11    17  rcu_preempt
19:36:17        0        16    0.00    0.00    0.00    0.00    0.00    13  rcu_exp_par_gp_kthread_worker/1
19:36:17        0        17    0.00    0.00    0.00    0.00    0.00    18  rcu_exp_gp_kthread_worker
19:36:17        0        18    0.00    0.00    0.00    0.00    0.00     0  migration/0
19:36:17        0        24    0.00    0.01    0.00    0.00    0.01     1  migration/1
19:36:17        0        25    0.00    0.01    0.00    0.01    0.01     1  ksoftirqd/1
19:36:17        0        30    0.00    0.01    0.00    0.00    0.01     2  migration/2
19:36:17        0        31    0.00    0.00    0.00    0.00    0.00     2  ksoftirqd/2
19:36:17        0        36    0.00    0.01    0.00    0.00    0.01     3  migration/3
19:36:17        0        37    0.00    0.00    0.00    0.00    0.00     3  ksoftirqd/3
19:36:17        0        42    0.00    0.01    0.00    0.00    0.01     4  migration/4
19:36:17        0        43    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
19:36:17        0        48    0.00    0.00    0.00    0.00    0.00     5  migration/5
19:36:17        0        49    0.00    0.00    0.00    0.01    0.00     5  ksoftirqd/5
19:36:17        0      1510    0.00    0.05    0.00    0.00    0.05     8  mt76-tx phy0
19:36:17     1000    448591    0.00    0.00    0.00    0.00    0.00    30  Socket Process
19:36:17     1000    448612    0.00    0.00    0.00    0.00    0.00     0  Privileged Cont
19:36:17     1000    448621    0.00    0.00    0.00    0.00    0.01    11  RDD Process
19:36:17     1000    448872    0.00    0.00    0.00    0.00    0.00    31  Utility Process
