Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

10:55:43      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:55:44        0       133    0.00    0.99    0.00    0.00    0.99    19  migration/19
10:55:44        0      1368    0.00    0.99    0.00    0.00    0.99     3  napi/phy0-0
10:55:44        0      6625    0.99    0.00    0.00    0.00    0.99    28  containerd
10:55:44        0      7010    0.00    0.99    0.00    0.00    0.99     9  kubelet
10:55:44        0      7018    0.99    0.00    0.00    0.00    0.99    26  kubelet
10:55:44        0      7925    0.99    0.99    0.00    0.00    1.98    22  etcd
10:55:44        0      7929    1.98    0.99    0.00    0.00    2.97    21  kube-apiserver
10:55:44     1000   1341275    0.00    0.99    0.00    0.00    0.99    19  bash
10:55:44        0   1463121    4.95    0.00    0.00    0.00    4.95    29  kube-controller
10:55:44     1000   1740095    0.00    0.99    0.00    0.00    0.99    27  bash
10:55:44     1000   1795091    0.99    0.00    0.00    0.00    0.99     1  2.1.263
10:55:44     1000   1795106    0.99    0.00    0.00    0.00    0.99     9  2.1.263
10:55:44     1000   1795298   15.84    0.99    0.00    0.00   16.83    19  claude
10:55:44     1000   2117373    0.00    0.99    0.00    0.00    0.99    18  tail
10:55:44      999   2138696    0.00    0.99    0.00    0.00    0.99    23  mysqld
10:55:44     1000   2244318    0.00    0.99    0.00    0.00    0.99     5  pidstat
10:55:44     1000   2246404    3.96    0.00    0.00    0.00    3.96    27  jz
10:55:44     1000   2246423    1.98    0.00    0.00    0.00    1.98    12  jz
10:55:44     1000   2246453    0.99    0.00    0.00    0.00    0.99    17  jz
10:55:44     1000   2246462    0.99    0.00    0.00    0.00    0.99    21  jz
10:55:44     1000   2522037    0.99    0.00    0.00    0.00    0.99    16  claude
10:55:44     1000   3605196    0.99    0.00    0.00    0.00    0.99     7  steam
10:55:44     1000   3605534    0.99    0.00    0.00    0.00    0.99     9  steamwebhelper
10:55:44     1000   3707836    0.00    0.99    0.00    0.00    0.99    16  code

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0       133    0.00    0.99    0.00    0.00    0.99     -  migration/19
Average:        0      1368    0.00    0.99    0.00    0.00    0.99     -  napi/phy0-0
Average:        0      6625    0.99    0.00    0.00    0.00    0.99     -  containerd
Average:        0      7010    0.00    0.99    0.00    0.00    0.99     -  kubelet
Average:        0      7018    0.99    0.00    0.00    0.00    0.99     -  kubelet
Average:        0      7925    0.99    0.99    0.00    0.00    1.98     -  etcd
Average:        0      7929    1.98    0.99    0.00    0.00    2.97     -  kube-apiserver
Average:     1000   1341275    0.00    0.99    0.00    0.00    0.99     -  bash
Average:        0   1463121    4.95    0.00    0.00    0.00    4.95     -  kube-controller
Average:     1000   1740095    0.00    0.99    0.00    0.00    0.99     -  bash
Average:     1000   1795091    0.99    0.00    0.00    0.00    0.99     -  2.1.263
Average:     1000   1795106    0.99    0.00    0.00    0.00    0.99     -  2.1.263
Average:     1000   1795298   15.84    0.99    0.00    0.00   16.83     -  claude
Average:     1000   2117373    0.00    0.99    0.00    0.00    0.99     -  tail
Average:      999   2138696    0.00    0.99    0.00    0.00    0.99     -  mysqld
Average:     1000   2244318    0.00    0.99    0.00    0.00    0.99     -  pidstat
Average:     1000   2246404    3.96    0.00    0.00    0.00    3.96     -  jz
Average:     1000   2246423    1.98    0.00    0.00    0.00    1.98     -  jz
Average:     1000   2246453    0.99    0.00    0.00    0.00    0.99     -  jz
Average:     1000   2246462    0.99    0.00    0.00    0.00    0.99     -  jz
Average:     1000   2522037    0.99    0.00    0.00    0.00    0.99     -  claude
Average:     1000   3605196    0.99    0.00    0.00    0.00    0.99     -  steam
Average:     1000   3605534    0.99    0.00    0.00    0.00    0.99     -  steamwebhelper
Average:     1000   3707836    0.00    0.99    0.00    0.00    0.99     -  code
