Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:24:15      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:24:16        0        15    0.00    0.98    0.00    0.00    0.98     7  rcu_preempt
03:24:16        0      1368    0.00    0.98    0.00    0.00    0.98    24  napi/phy0-0
03:24:16        0      1369    0.00    0.98    0.00    0.00    0.98     5  napi/phy0-0
03:24:16        0      1510    0.00    0.98    0.00    0.00    0.98    24  mt76-tx phy0
03:24:16        0      6625    0.98    0.00    0.00    0.00    0.98    28  containerd
03:24:16        0      6626    0.98    0.00    0.00    0.00    0.98    24  containerd
03:24:16        0      7010    1.96    0.00    0.00    0.00    1.96    27  kubelet
03:24:16        0      7012    0.00    0.98    0.00    0.00    0.98    26  kubelet
03:24:16        0      7018    1.96    0.00    0.00    0.00    1.96    26  kubelet
03:24:16        0      7925    0.98    0.98    0.00    0.00    1.96    13  etcd
03:24:16        0      7929    1.96    0.98    0.00    0.00    2.94    21  kube-apiserver
03:24:16      999    125378    0.98    0.00    0.00    0.00    0.98     9  redis-server
03:24:16     1000    574346    0.98    0.00    0.00    0.00    0.98     2  code
03:24:16     1000    581703    0.00    0.98    0.00    0.00    0.98     0  code
03:24:16        0   1463121    0.98    0.98    0.00    0.00    1.96    29  kube-controller
03:24:16      999   1463353    0.98    0.00    0.00    0.00    0.98    13  argocd-applicat
03:24:16     1000   1795106    0.98    0.00    0.00    0.00    0.98     1  2.1.263
03:24:16     1000   1795298    9.80    0.00    0.00    0.00    9.80    23  claude
03:24:16     1000   2522037    0.98    0.00    0.00    0.00    0.98    13  claude
03:24:16     1000   2797616    1.96    0.98    0.00    0.00    2.94    13  claude
03:24:16        0   2883238    0.00    0.98    0.00    0.00    0.98     1  kworker/u128:1-mt76
03:24:16     1000   2920498    0.00    0.98    0.00    0.00    0.98     5  pidstat
03:24:16     1000   3485058    0.98    0.00    0.00    0.00    0.98    21  code
03:24:16     1000   3605196    0.98    0.98    0.00    0.00    1.96     5  steam
03:24:16     1000   3605534    0.98    0.00    0.00    0.00    0.98    16  steamwebhelper
