Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

10:54:00      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:54:01     1000    250415   1833.33      0.00    6220    3904   0.01  bash
10:54:01     1000    757448    167.65      0.00 1520750336  597984   0.93  code
10:54:01     1000   1138134   1886.27      0.00    6224    3664   0.01  bash
10:54:01     1000   1341275   1855.88      0.00    6224    3852   0.01  bash
10:54:01     1000   1740095   1777.45      0.00    6236    3980   0.01  bash
10:54:01     1000   1786763     31.37      0.00    5932    3728   0.01  bash
10:54:01     1000   1795094      1.96      0.00 5554068  116136   0.18  2.1.263
10:54:01     1000   1795298   2117.65      0.00 5638448  742016   1.15  claude
10:54:01     1000   2028595    230.39      0.00    9272    8288   0.01  pidstat
10:54:01     1000   2029213    445.10      0.00   16116    7380   0.01  sleep
10:54:01     1000   2030649    146.08      0.00    6236    2344   0.00  bash
10:54:01     1000   2030650   2765.69      0.00 1234640   11156   0.02  jz
10:54:01     1000   2030670    143.14      0.00    6224    2224   0.00  bash
10:54:01     1000   2030671   2336.27      0.00 1233840   10388   0.02  jz
10:54:01     1000   2030673    151.96      0.00    6220    2288   0.00  bash
10:54:01     1000   2030678   2413.73      0.00 1299408   10312   0.02  jz
10:54:01     1000   3704356      1.96      0.00 1521115896 1251548   1.94  code
10:54:01     1000   3704413      1.96      0.00 50789816   41764   0.06  code
10:54:01     1000   3704744     18.63      0.00 1520357632   88588   0.14  code
10:54:01     1000   3707836      0.98      0.00 1520399360   69952   0.11  code

Average:      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
Average:     1000    250415   1833.33      0.00    6220    3904   0.01  bash
Average:     1000    757448    167.65      0.00 1520750336  597984   0.93  code
Average:     1000   1138134   1886.27      0.00    6224    3664   0.01  bash
Average:     1000   1341275   1855.88      0.00    6224    3852   0.01  bash
Average:     1000   1740095   1777.45      0.00    6236    3980   0.01  bash
Average:     1000   1786763     31.37      0.00    5932    3728   0.01  bash
Average:     1000   1795094      1.96      0.00 5554068  116136   0.18  2.1.263
Average:     1000   1795298   2117.65      0.00 5638448  742016   1.15  claude
Average:     1000   2028595    230.39      0.00    9272    8288   0.01  pidstat
Average:     1000   2029213    445.10      0.00   16116    7380   0.01  sleep
Average:     1000   2030649    146.08      0.00    6236    2344   0.00  bash
Average:     1000   2030650   2765.69      0.00 1234640   11156   0.02  jz
Average:     1000   2030670    143.14      0.00    6224    2224   0.00  bash
Average:     1000   2030671   2336.27      0.00 1233840   10388   0.02  jz
Average:     1000   2030673    151.96      0.00    6220    2288   0.00  bash
Average:     1000   2030678   2413.73      0.00 1299408   10312   0.02  jz
Average:     1000   3704356      1.96      0.00 1521115896 1251548   1.94  code
Average:     1000   3704413      1.96      0.00 50789816   41764   0.06  code
Average:     1000   3704744     18.63      0.00 1520357632   88588   0.14  code
Average:     1000   3707836      0.98      0.00 1520399360   69952   0.11  code
