Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:28:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:28:31     1000    574214     18.63      0.00 1519023764  409424   0.64  code
03:28:31     1000    574349      2.94      0.00 50711460   84576   0.13  code
03:28:31     1000    574489     60.78      0.00 1520882900  394252   0.61  code
03:28:31     1000    574996     10.78      0.00 1518404448  155912   0.24  code
03:28:31     1000    575072      0.98      0.00 1518408524  125328   0.19  code
03:28:31     1000    581682     13.73      0.00 1518408208  135540   0.21  code
03:28:31     1000    581703    348.04      0.00 1518780868  638540   0.99  code
03:28:31     1000   1795106      1.96      0.00 5647660  409804   0.64  2.1.263
03:28:31     1000   1795298      1.96      0.00 5644632  637432   0.99  claude
03:28:31     1000   2240302      2.94      0.00 1522232232  344116   0.53  code
03:28:31     1000   2774396      0.98      0.00 1520871988  276180   0.43  chrome
03:28:31     1000   2797150   7309.80      0.00 1520923392  221812   0.34  chrome
03:28:31     1000   2797616      2.94      0.00 5605584  397472   0.62  claude
03:28:31     1000   2923917    247.06      0.00 1520593476  125516   0.19  chrome
03:28:31     1000   2923929      3.92      0.00 1518607868   80684   0.13  chrome
03:28:31     1000   2923957    127.45      0.00    9132    8032   0.01  pidstat
03:28:31     1000   2923959  58242.16      0.00 1520773860  257808   0.40  chrome
03:28:31     1000   3294734      4.90      0.00 1518846256  321628   0.50  code
03:28:31     1000   3708952  11582.35      0.00 56473664  899952   1.40  chrome
03:28:31     1000   3708977     40.20      0.00 55229972   19216   0.03  chrome
03:28:31     1000   3709029     50.98      0.00 55697560  215544   0.33  chrome
03:28:31     1000   3709031     51.96      0.00 55065604  149188   0.23  chrome
03:28:31     1000   3709046      1.96      0.00 55313684   64284   0.10  chrome

03:28:31      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:28:32        0      6577      2.00      0.00  532016  440796   0.68  systemd-journal
03:28:32        0     10421     11.00      0.00 1235352    6308   0.01  containerd-shim
03:28:32        0     10495     10.00      0.00 1235352    7472   0.01  containerd-shim
03:28:32        0     10553     11.00      0.00 1235608    7280   0.01  containerd-shim
03:28:32        0     10646     12.00      0.00 1235352    7168   0.01  containerd-shim
03:28:32        0     10761     12.00      0.00 1235608    5868   0.01  containerd-shim
03:28:32        0     10807     10.00      0.00 1235608    7664   0.01  containerd-shim
03:28:32     1000    324834     97.00      0.00    5932    3740   0.01  bash
03:28:32     1000    574214      6.00      0.00 1519023764  409424   0.64  code
03:28:32     1000    574489     95.00      0.00 1520882900  394252   0.61  code
03:28:32     1000    575072     10.00      0.00 1518408524  125328   0.19  code
03:28:32     1000    581703   1205.00      0.00 1518780868  638540   0.99  code
03:28:32     1000   1795298      2.00      0.00 5644632  637432   0.99  claude
03:28:32     1000   2782046      1.00      0.00 55051572   92364   0.14  chrome
03:28:32     1000   2797150      0.00      0.00 1520923392  221556   0.34  chrome
03:28:32     1000   2797616      1.00      0.00 5605584  397472   0.62  claude
03:28:32     1000   2923957      3.00      0.00    9272    8032   0.01  pidstat
03:28:32     1000   2923959  77976.00      0.00 1520823036  288720   0.45  chrome
03:28:32     1000   2924027    457.00      0.00   16116    7392   0.01  sleep
03:28:32     1000   3708952   3948.00      0.00 56473664  900888   1.40  chrome
03:28:32     1000   3709029      3.00      0.00 55697560  215544   0.33  chrome
03:28:32     1000   3709046      4.00      0.00 55313684   64284   0.10  chrome

03:28:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:28:33     1000    574346     14.00      0.00 51339924  185432   0.29  code
03:28:33     1000    574489      2.00      0.00 1520882900  394252   0.61  code
03:28:33     1000    574996     22.00      0.00 1518404448  155912   0.24  code
03:28:33     1000    581703    274.00      0.00 1518780868  638540   0.99  code
03:28:33     1000   1795075      1.00      0.00 5576820  174408   0.27  claude
03:28:33     1000   1795298      2.00      0.00 5644632  637432   0.99  claude
03:28:33        0   2138672      8.00      0.00 1233848   11708   0.02  containerd-shim
03:28:33        0   2138834      8.00      0.00 1233848   10956   0.02  containerd-shim
03:28:33     1000   2164566     94.00      0.00    5932    3880   0.01  bash
03:28:33     1000   2797616     59.00      0.00 5605584  397728   0.62  claude
03:28:33     1000   2923957      2.00      0.00    9272    8032   0.01  pidstat
03:28:33     1000   2923959 139438.00      0.00 1520823036  296672   0.46  chrome
03:28:33     1000   2924029    456.00      0.00   16116    7396   0.01  sleep
03:28:33     1000   3708952   6599.00      0.00 56473664  900632   1.40  chrome
03:28:33     1000   3709031    114.00      0.00 55065604  149444   0.23  chrome

Average:      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
Average:        0      6577      0.66      0.00  532016  440711   0.68  systemd-journal
Average:        0     10421      3.64      0.00 1235352    6308   0.01  containerd-shim
Average:        0     10495      3.31      0.00 1235352    7472   0.01  containerd-shim
Average:        0     10553      3.64      0.00 1235608    7280   0.01  containerd-shim
Average:        0     10646      3.97      0.00 1235352    7168   0.01  containerd-shim
Average:        0     10761      3.97      0.00 1235608    5868   0.01  containerd-shim
Average:        0     10807      3.31      0.00 1235608    7664   0.01  containerd-shim
Average:     1000    324834     32.12      0.00    5932    3740   0.01  bash
Average:     1000    574214      8.28      0.00 1519023764  409424   0.64  code
Average:     1000    574346      4.64      0.00 51339924  185432   0.29  code
Average:     1000    574349      0.99      0.00 50711460   84576   0.13  code
Average:     1000    574489     52.65      0.00 1520882900  394252   0.61  code
Average:     1000    574996     10.93      0.00 1518404448  155912   0.24  code
