MemTotal:       64413356 kB
MemFree:         9089636 kB
MemAvailable:   29807332 kB
Buffers:         2590884 kB
Cached:         33412112 kB
SwapCached:        61004 kB
Active:         25542964 kB
Inactive:       22255176 kB
Active(anon):   20724904 kB
Inactive(anon):  9335228 kB
Active(file):    4818060 kB
Inactive(file): 12919948 kB
Unevictable:         824 kB
Mlocked:             644 kB
SwapTotal:       8388604 kB
SwapFree:        6441724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2100 kB
Writeback:             0 kB
AnonPages:      11745200 kB
Mapped:          2902788 kB
Shmem:          18526256 kB
KReclaimable:    3704540 kB
Slab:            5266924 kB
SReclaimable:    3704540 kB
SUnreclaim:      1562384 kB
KernelStack:       75744 kB
PageTables:       155176 kB
SecPageTables:      6904 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    40595280 kB
Committed_AS:   73406692 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163868 kB
VmallocChunk:          0 kB
Percpu:            93184 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:    389120 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     5829832 kB
DirectMap2M:    37840896 kB
DirectMap1G:    23068672 kB
