major minor  #blocks  name

   7        0          4 loop0
   7        1     102868 loop1
   7        2     226796 loop2
   7        3      65312 loop3
   7        4      65308 loop4
   7        5      56820 loop5
   7        6      56824 loop6
   7        7      75768 loop7
 259        0 1953514584 nvme1n1
 259        1    1100800 nvme1n1p1
 259        2 1952411648 nvme1n1p2
 259        3 2000398680 nvme0n1
 259        4 2000397312 nvme0n1p1
   7       10      68408 loop10
   7        9      75756 loop9
   7       11      20120 loop11
   7        8      68452 loop8
   7       14     142216 loop14
   7       12      20440 loop12
   7       13     141856 loop13
   7       15     219588 loop15
   7       18      16844 loop18
   7       17      16896 loop17
   7       19     139100 loop19
   7       20     139104 loop20
   7       23     544128 loop23
   7       22     358088 loop22
   7       21     168780 loop21
   7       24     544248 loop24
   7       25     629280 loop25
   7       26     620624 loop26
   7       28      93888 loop28
   7       27      12960 loop27
   7       29      13484 loop29
   7       30      43984 loop30
   7       31     411628 loop31
   7       32     404460 loop32
   7       33      19276 loop33
   7       34      19284 loop34
   7       35      14544 loop35
   7       36      11884 loop36
   7       37      16064 loop37
   7       39     267096 loop39
   7       38      12092 loop38
   7       40      51304 loop40
   7       41        828 loop41
   7       42        828 loop42
   7       43     179696 loop43
   7       44     147288 loop44
   7       45     102824 loop45
   7       47     267356 loop47
   7       46      51476 loop46
   7       48     219644 loop48
   7       50      38456 loop50
   7       49     226444 loop49
   7       54     495748 loop54
   7       53       7756 loop53
   7       51       7756 loop51
   7       52     351528 loop52
   7       55     432940 loop55
   7       56      38472 loop56
