S   UID     PID    PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0       1       0  0  80   0 19124  7016 -      ?        00:02:57 systemd
S     0       2       0  0  80   0     0     0 -      ?        00:00:00 kthreadd
I     0       4       2  0  60 -20     0     0 -      ?        00:00:00 kworker/R-rcu_gp
S     0      18       2  0 -40   -     0     0 -      ?        00:00:03 migration/0
S     0      20       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/0
S   990     729       1  0  80   0  8572  6004 -      ?        00:00:11 systemd-resolve
S   995    2024       1  0  80   0  7916  3252 -      ?        00:01:11 dbus-daemon
S   986    2034       1  0  80   0 10616 96354 -      ?        00:00:04 polkitd
S   997    4279       1  0  80   0 21048 651462 -     ?        00:00:04 ollama
S 65535    6610    6511  0  80   0    40   257 -      ?        00:00:00 pause
S 65532    8153    7679  0  80   0 36516 326884 -     ?        00:03:31 coredns
S  1000   23440   21434  0  80   0  6052  1815 poll_s pts/4    00:00:00 bash
S  1000 3091532 1475824  0  80   0 84488 379654014 futex_ ?    00:00:00 chrome
R  1000 3092294 3092290  0  80   0  4712  1867 -      ?        00:00:00 ps
