
Dynamic section at offset 0x1cdc0 contains 27 entries:
  Tag        Type                         Name/Value
 0x0000000000000001 (NEEDED)             Shared library: [libc.so.6]
 0x000000000000000e (SONAME)             Library soname: [libz.so.1]
 0x000000000000000c (INIT)               0x3000
 0x000000000000000d (FINI)               0x15840
 0x0000000000000019 (INIT_ARRAY)         0x1cc50
 0x000000000000001b (INIT_ARRAYSZ)       8 (bytes)
 0x000000000000001a (FINI_ARRAY)         0x1cc58
 0x000000000000001c (FINI_ARRAYSZ)       8 (bytes)
 0x000000006ffffef5 (GNU_HASH)           0x308
 0x0000000000000005 (STRTAB)             0x1258
 0x0000000000000006 (SYMTAB)             0x6b8
 0x000000000000000a (STRSZ)              1488 (bytes)
 0x000000000000000b (SYMENT)             24 (bytes)
 0x0000000000000003 (PLTGOT)             0x1cfe8
 0x0000000000000002 (PLTRELSZ)           408 (bytes)
 0x0000000000000014 (PLTREL)             RELA
 0x0000000000000017 (JMPREL)             0x1eb0
 0x0000000000000007 (RELA)               0x1b80
 0x0000000000000008 (RELASZ)             816 (bytes)
 0x0000000000000009 (RELAENT)            24 (bytes)
 0x000000006ffffffc (VERDEF)             0x1920
 0x000000006ffffffd (VERDEFNUM)          15
 0x000000006ffffffe (VERNEED)            0x1b30
 0x000000006fffffff (VERNEEDNUM)         1
 0x000000006ffffff0 (VERSYM)             0x1828
 0x000000006ffffff9 (RELACOUNT)          30
 0x0000000000000000 (NULL)               0x0
