Linux 7.0.0-31-generic (host01) 	09/10/26 	_x86_64_	(32 CPU)

22:40:02        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22:50:15           lo      4.54      4.54      0.96      0.96      0.00      0.00      0.00      0.00
22:50:15         eno1      0.97      0.56      0.26      0.06      0.00      0.00      0.57      0.00
22:50:15     wlp195s0    105.06    164.14     61.39    184.52      0.00      0.00      0.00      0.00
22:50:15    br-000000000001      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:50:15      docker0      0.00      0.10      0.00      0.01      0.00      0.00      0.00      0.00
22:50:15    br-000000000002      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:50:15    br-000000000003      0.08      0.17      0.01      0.04      0.00      0.00      0.00      0.00
22:50:15    veth0000001      3.86      4.40      2.09      0.49      0.00      0.00      0.00      0.00
22:50:15    veth0000002      1.93      2.34      0.23      0.51      0.00      0.00      0.00      0.00
22:50:15    veth0000003      0.00      0.11      0.00      0.01      0.00      0.00      0.00      0.00
22:50:15    veth0000004      3.95      3.31      0.46      1.82      0.00      0.00      0.00      0.00
Average:           lo      4.54      4.54      0.96      0.96      0.00      0.00      0.00      0.00
Average:         eno1      0.97      0.56      0.26      0.06      0.00      0.00      0.57      0.00
Average:     wlp195s0    105.06    164.14     61.39    184.52      0.00      0.00      0.00      0.00
Average:    br-000000000001      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      docker0      0.00      0.10      0.00      0.01      0.00      0.00      0.00      0.00
Average:    br-000000000002      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    br-000000000003      0.08      0.17      0.01      0.04      0.00      0.00      0.00      0.00
Average:    veth0000001      3.86      4.40      2.09      0.49      0.00      0.00      0.00      0.00
Average:    veth0000002      1.93      2.34      0.23      0.51      0.00      0.00      0.00      0.00
Average:    veth0000003      0.00      0.11      0.00      0.01      0.00      0.00      0.00      0.00
Average:    veth0000004      3.95      3.31      0.46      1.82      0.00      0.00      0.00      0.00

22:57:47     LINUX RESTART	(32 CPU)

23:00:02        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23:10:06           lo      5.48      5.48      0.54      0.54      0.00      0.00      0.00      0.00
23:10:06         eno1      0.43      0.66      0.03      0.06      0.00      0.00      0.07      0.00
23:10:06     wlp195s0    125.16     98.14    102.48     57.28      0.00      0.00      0.00      0.00
23:10:06    br-000000000002      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:10:06    br-000000000003      0.09      0.09      0.01      0.02      0.00      0.00      0.01      0.00
23:10:06    br-000000000001      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:10:06      docker0      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00
23:10:06    veth0000005      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00
23:10:06    veth0000006      3.85      3.14      0.44      1.79      0.00      0.00      0.00      0.00
23:10:06    veth0000007      3.70      4.17      2.06      0.46      0.00      0.00      0.00      0.00
23:10:06    veth0000008      1.88      2.21      0.22      0.49      0.00      0.00      0.00      0.00
Average:           lo      5.48      5.48      0.54      0.54      0.00      0.00      0.00      0.00
Average:         eno1      0.43      0.66      0.03      0.06      0.00      0.00      0.07      0.00
Average:     wlp195s0    125.16     98.14    102.48     57.28      0.00      0.00      0.00      0.00
Average:    br-000000000002      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    br-000000000003      0.09      0.09      0.01      0.02      0.00      0.00      0.01      0.00
Average:    br-000000000001      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      docker0      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth0000005      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth0000006      3.85      3.14      0.44      1.79      0.00      0.00      0.00      0.00
Average:    veth0000007      3.70      4.17      2.06      0.46      0.00      0.00      0.00      0.00
Average:    veth0000008      1.88      2.21      0.22      0.49      0.00      0.00      0.00      0.00
