Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

08:55:20        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
08:55:21           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21         eno1     22.00      0.00     11.60      0.00      0.00      0.00     22.00      0.01
08:55:21     wlp195s0    121.00    238.00     26.08    330.26      0.00      0.00      0.00      0.00
08:55:21    br-1a2b3c4d5e6f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21      docker0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    br-2b3c4d5e6f70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    veth11aa22b      2.00      1.00      0.20      0.08      0.00      0.00      0.00      0.00
08:55:21    veth22bb33c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    veth33cc44d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    veth44dd55e      1.00      2.00      0.08      0.20      0.00      0.00      0.00      0.00
08:55:21    veth55ee66f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    veth66ff770      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    veth7700881      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:21    br-3c4d5e6f7081      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

Average:        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eno1     22.00      0.00     11.60      0.00      0.00      0.00     22.00      0.01
Average:     wlp195s0    121.00    238.00     26.08    330.26      0.00      0.00      0.00      0.00
Average:    br-1a2b3c4d5e6f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      docker0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    br-2b3c4d5e6f70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth11aa22b      2.00      1.00      0.20      0.08      0.00      0.00      0.00      0.00
Average:    veth22bb33c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth33cc44d      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth44dd55e      1.00      2.00      0.08      0.20      0.00      0.00      0.00      0.00
Average:    veth55ee66f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth66ff770      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth7700881      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    br-3c4d5e6f7081      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
