Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

08:55:21        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
08:55:22           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:22         eno1      1.00      0.00      0.06      0.00      0.00      0.00      0.00      0.00
08:55:22     wlp195s0     26.00     24.00      6.54      1.55      0.00      0.00      0.00      0.00
08:55:22    br-1a2b3c4d5e6f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:22      docker0      2.00      2.00      0.10      0.13      0.00      0.00      0.00      0.00
08:55:22    br-2b3c4d5e6f70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:22    veth11aa22b      2.00      1.00      0.14      0.07      0.00      0.00      0.00      0.00
08:55:22    veth22bb33c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:22    veth33cc44d      4.00      5.00      0.94      1.02      0.00      0.00      0.00      0.00
08:55:22    veth44dd55e      6.00      6.00      1.10      1.08      0.00      0.00      0.00      0.00
08:55:22    veth55ee66f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:22    veth66ff770      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:22    veth7700881      2.00      2.00      0.13      0.13      0.00      0.00      0.00      0.00
08:55:22    br-3c4d5e6f7081      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

08:55:22        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
08:55:23           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23         eno1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23     wlp195s0    117.00    187.00     11.76    212.50      0.00      0.00      0.00      0.00
08:55:23    br-1a2b3c4d5e6f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23      docker0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23    br-2b3c4d5e6f70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23    veth11aa22b      4.00      4.00      0.26      0.73      0.00      0.00      0.00      0.00
08:55:23    veth22bb33c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23    veth33cc44d      5.00      5.00      0.89      0.32      0.00      0.00      0.00      0.00
08:55:23    veth44dd55e      1.00      1.00      0.06      0.16      0.00      0.00      0.00      0.00
08:55:23    veth55ee66f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23    veth66ff770      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23    veth7700881      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:55:23    br-3c4d5e6f7081      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

Average:        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eno1      0.50      0.00      0.03      0.00      0.00      0.00      0.00      0.00
Average:     wlp195s0     71.50    105.50      9.15    107.02      0.00      0.00      0.00      0.00
Average:    br-1a2b3c4d5e6f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      docker0      1.00      1.00      0.05      0.06      0.00      0.00      0.00      0.00
Average:    br-2b3c4d5e6f70      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth11aa22b      3.00      2.50      0.20      0.40      0.00      0.00      0.00      0.00
Average:    veth22bb33c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth33cc44d      4.50      5.00      0.92      0.67      0.00      0.00      0.00      0.00
Average:    veth44dd55e      3.50      3.50      0.58      0.62      0.00      0.00      0.00      0.00
Average:    veth55ee66f      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth66ff770      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    veth7700881      1.00      1.00      0.06      0.06      0.00      0.00      0.00      0.00
Average:    br-3c4d5e6f7081      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
