Interface                         Plug                                               Slot                               Notes
appstream-metadata                snap-store:appstream-metadata                      :appstream-metadata                -
audio-playback                    brave:audio-playback                               :audio-playback                    -
audio-playback                    drawio:audio-playback                              :audio-playback                    -
audio-playback                    firefox:audio-playback                             :audio-playback                    -
audio-playback                    kooha:audio-playback                               :audio-playback                    -
audio-playback                    prompting-client:audio-playback                    :audio-playback                    -
audio-playback                    spotify:audio-playback                             :audio-playback                    -
audio-playback                    telegram-desktop:audio-playback                    :audio-playback                    -
audio-playback                    thunderbird:audio-playback                         :audio-playback                    -
audio-playback                    zoom-client:audio-playback                         :audio-playback                    -
audio-record                      brave:audio-record                                 :audio-record                      -
audio-record                      firefox:audio-record                               :audio-record                      -
audio-record                      telegram-desktop:audio-record                      :audio-record                      -
audio-record                      zoom-client:audio-record                           :audio-record                      -
avahi-observe                     firefox:avahi-observe                              :avahi-observe                     -
bluez                             brave:bluez                                        :bluez                             -
bluez                             telegram-desktop:bluez                             :bluez                             -
browser-support                   brave:browser-sandbox                              :browser-support                   -
browser-support                   drawio:browser-support                             :browser-support                   -
browser-support                   firefox:browser-sandbox                            :browser-support                   -
browser-support                   spotify:browser-support                            :browser-support                   -
browser-support                   thunderbird:browser-sandbox                        :browser-support                   -
browser-support                   zoom-client:browser-sandbox                        :browser-support                   -
camera                            brave:camera                                       :camera                            -
camera                            firefox:camera                                     :camera                            -
camera                            telegram-desktop:camera                            :camera                            -
camera                            zoom-client:camera                                 :camera                            -
content[gnome-42-2204]            brave:gnome-42-2204                                gnome-42-2204:gnome-42-2204        -
content[gtk-3-themes]             brave:gtk-3-themes                                 gtk-common-themes:gtk-3-themes     -
content[icon-themes]              brave:icon-themes                                  gtk-common-themes:icon-themes      -
content[icon-themes]              brave:icon-themes                                  icon-theme-breeze:icon-themes      -
content[sound-themes]             brave:sound-themes                                 gtk-common-themes:sound-themes     -
content[gnome-46-2404]            desktop-security-center:gnome-46-2404              gnome-46-2404:gnome-46-2404        -
content[gpu-2404]                 desktop-security-center:gpu-2404                   mesa-2404:gpu-2404                 -
content[gtk-3-themes]             desktop-security-center:gtk-3-themes               gtk-common-themes:gtk-3-themes     -
content[icon-themes]              desktop-security-center:icon-themes                gtk-common-themes:icon-themes      -
content[icon-themes]              desktop-security-center:icon-themes                icon-theme-breeze:icon-themes      -
content[sound-themes]             desktop-security-center:sound-themes               gtk-common-themes:sound-themes     -
content[gnome-46-2404]            drawio:gnome-46-2404                               gnome-46-2404:gnome-46-2404        -
