Name                       Version                         Rev    Tracking         Publisher           Notes
bare                       1.0                             5      latest/stable    canonical**         base
brave                      1.94.119                        676    latest/stable    brave**             disabled
brave                      1.94.121                        678    latest/stable    brave**             -
core18                     20260204                        2999   latest/stable    canonical**         base
core18                     20260105                        2979   latest/stable    canonical**         base,disabled
core20                     20260410                        2866   latest/stable    canonical**         base
core20                     20260211                        2769   latest/stable    canonical**         base,disabled
core22                     20260225                        2411   latest/stable    canonical**         base,disabled
core22                     20260410                        2437   latest/stable    canonical**         base
core24                     20260317                        1587   latest/stable    canonical**         base,disabled
core24                     20260410                        1643   latest/stable    canonical**         base
desktop-security-center    0+git.80cd2b4                   150    1/stable/…       canonical**         disabled
desktop-security-center    0+git.25daa58                   151    1/stable/…       canonical**         -
drawio                     31.3.2                          298    latest/stable    jgraph**            -
drawio                     30.4.1                          292    latest/stable    jgraph**            disabled
firefox                    154.0.1-1                       8803   latest/stable/…  mozilla**           -
firefox                    153.0.4-1                       8754   latest/stable/…  mozilla**           disabled
