Name                       Version                         Rev    Tracking         Publisher           Notes
bare                       1.0                             5      latest/stable    canonical**         base
brave                      1.95.101                        680    latest/stable    brave**             -
core18                     20260901                        3084   latest/stable    canonical**         base
core20                     20260901                        2922   latest/stable    canonical**         base
core22                     20260410                        2437   latest/stable    canonical**         base
core24                     20260410                        1643   latest/stable    canonical**         base
desktop-security-center    0+git.25daa58                   151    1/stable/…       canonical**         -
drawio                     31.3.2                          298    latest/stable    jgraph**            -
firefox                    155.0.1-1                       8863   latest/stable/…  mozilla**           -
firmware-updater           0+git.5645b80                   226    1/stable/…       canonical**         -
ghostty                    v1.3.1                          820    latest/stable    ken-vandine*        classic
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**         -
gnome-3-38-2004            0+git.efb213a                   143    latest/stable    canonical**         -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263    latest/stable/…  canonical**         -
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164    latest/stable    canonical**         -
gradia                     1.12.0                          8      latest/stable    alexandervanhee     -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**         -
icon-theme-breeze          1.3                             5      latest/stable    kde**               -
kooha                      2.3.0                           9      latest/stable    seadve              -
mesa-2404                  25.2.8-snap288                  1839   latest/stable    canonical**         -
prompting-client           0+git.33cd821                   222    1/stable/…       canonical**         -
scc                        v4.1.0                          27     latest/stable    felicianotech       -
snap-store                 0+git.8334e2e4                  1390   2/stable/…       canonical**         -
snapd                      2.76.3                          27738  latest/stable    canonical**         snapd
snapd-desktop-integration  0.9                             391    latest/stable/…  canonical**         -
spotify                    1.2.95.453.g0eeebbed            99     latest/stable    spotify**           -
telegram-desktop           7.2.8                           7146   latest/stable    telegram-desktop**  -
terraform                  1.16.2                          933    latest/stable    snapcrafters*       classic
thunderbird                155.0.1-1                       1255   latest/stable    canonical**         -
upscayl                    2.15.0                          39     latest/stable    nayamamarshe        -
yq                         v4.49.2                         2759   latest/stable    mikefarah           -
zoom-client                7.1.5.4332                      279    latest/stable    ogra                -
