                  551us systemd-ask-password.socket
                  510us systemd-factory-reset.socket
                  435us systemd-sysext.socket
                  366us systemd-creds.socket
                   62us systemd-journald-dev-log.socket
                   53us avahi-daemon.socket
                   51us uuidd.socket
                   49us cups.socket
                   26us systemd-journald.socket
                   23us syslog.socket
                   20us systemd-resolved-monitor.socket
                   16us systemd-rfkill.socket
                   15us systemd-hostnamed.socket
                   14us dbus.socket
                   13us systemd-oomd.socket
                   11us systemd-udevd-varlink.socket
                   10us systemd-logind-varlink.socket
                    9us systemd-udevd-kernel.socket
                    7us systemd-udevd-control.socket
                    7us systemd-resolved-varlink.socket
