"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","356 K"
"Secure System","92","Services","0","41,292 K"
"Registry","132","Services","0","24,468 K"
"smss.exe","620","Services","0","1,796 K"
"csrss.exe","764","Services","0","6,604 K"
"wininit.exe","884","Services","0","10,588 K"
"services.exe","980","Services","0","12,612 K"
"LsaIso.exe","1000","Services","0","5,344 K"
"lsass.exe","1008","Services","0","36,848 K"
"svchost.exe","704","Services","0","42,144 K"
"fontdrvhost.exe","1064","Services","0","4,916 K"
"svchost.exe","1140","Services","0","19,808 K"
"svchost.exe","1196","Services","0","14,708 K"
"svchost.exe","1368","Services","0","29,476 K"
"svchost.exe","1524","Services","0","15,688 K"
"svchost.exe","1560","Services","0","19,104 K"
"svchost.exe","1568","Services","0","7,708 K"
"svchost.exe","1652","Services","0","11,016 K"
"svchost.exe","1660","Services","0","9,032 K"
"svchost.exe","1672","Services","0","8,500 K"
"svchost.exe","1700","Services","0","8,596 K"
"svchost.exe","1716","Services","0","10,924 K"
"svchost.exe","1856","Services","0","23,772 K"
"svchost.exe","1952","Services","0","28,000 K"
"vmms.exe","2036","Services","0","34,436 K"
"svchost.exe","2092","Services","0","12,760 K"
"svchost.exe","2120","Services","0","8,496 K"
"svchost.exe","2268","Services","0","11,844 K"
"svchost.exe","2276","Services","0","15,060 K"
"svchost.exe","2340","Services","0","18,964 K"
"svchost.exe","2412","Services","0","26,152 K"
"XtaCache.exe","2440","Services","0","7,456 K"
"svchost.exe","2500","Services","0","15,228 K"
"svchost.exe","2508","Services","0","80,764 K"
"svchost.exe","2516","Services","0","8,216 K"
"svchost.exe","2524","Services","0","11,868 K"
"svchost.exe","2584","Services","0","11,224 K"
"svchost.exe","2696","Services","0","18,772 K"
"Memory Compression","2744","Services","0","N/A"
"svchost.exe","2764","Services","0","12,496 K"
"svchost.exe","2816","Services","0","10,888 K"
"svchost.exe","2824","Services","0","11,940 K"
"svchost.exe","2880","Services","0","10,392 K"
"svchost.exe","2952","Services","0","28,116 K"
"svchost.exe","3000","Services","0","15,424 K"
"svchost.exe","3096","Services","0","12,544 K"
"svchost.exe","3136","Services","0","15,496 K"
"svchost.exe","3172","Services","0","14,192 K"
"svchost.exe","3176","Services","0","9,396 K"
"svchost.exe","3224","Services","0","20,288 K"
"spoolsv.exe","3284","Services","0","22,780 K"
"taskhostw.exe","3292","Services","0","57,244 K"
"svchost.exe","3320","Services","0","15,400 K"
"svchost.exe","3380","Services","0","11,652 K"
"svchost.exe","3440","Services","0","17,192 K"
"svchost.exe","3452","Services","0","17,748 K"
"svchost.exe","3464","Services","0","19,464 K"
"svchost.exe","3472","Services","0","9,916 K"
"MpDefenderCoreService.exe","3596","Services","0","31,500 K"
"svchost.exe","3748","Services","0","34,024 K"
"svchost.exe","3760","Services","0","23,196 K"
"WaAppAgent.exe","3772","Services","0","84,212 K"
"sqlwriter.exe","3788","Services","0","18,828 K"
"WindowsAzureGuestAgent.exe","3796","Services","0","71,844 K"
"MsMpEng.exe","3820","Services","0","220,388 K"
"svchost.exe","3872","Services","0","13,612 K"
"vmcompute.exe","4608","Services","0","12,652 K"
"svchost.exe","4992","Services","0","21,208 K"
"svchost.exe","5000","Services","0","19,180 K"
"svchost.exe","5008","Services","0","83,608 K"
"svchost.exe","4512","Services","0","14,208 K"
"svchost.exe","2488","Services","0","12,096 K"
"svchost.exe","5172","Services","0","14,164 K"
"svchost.exe","5204","Services","0","11,244 K"
"svchost.exe","5504","Services","0","13,588 K"
"svchost.exe","5976","Services","0","10,692 K"
"NisSrv.exe","5956","Services","0","16,720 K"
"WmiPrvSE.exe","5292","Services","0","14,236 K"
"svchost.exe","5836","Services","0","12,624 K"
"WaSecAgentProv.exe","6352","Services","0","11,332 K"
"conhost.exe","6360","Services","0","7,652 K"
"svchost.exe","6572","Services","0","44,540 K"
"svchost.exe","6668","Services","0","15,740 K"
"svchost.exe","6728","Services","0","11,076 K"
"svchost.exe","7048","Services","0","29,664 K"
"svchost.exe","6116","Services","0","20,388 K"
"csrss.exe","3648","Console","2","9,408 K"
"winlogon.exe","5788","Console","2","15,848 K"
"fontdrvhost.exe","3660","Console","2","7,164 K"
"dwm.exe","6868","Console","2","86,512 K"
"svchost.exe","1076","Services","0","19,916 K"
"svchost.exe","1424","Console","2","13,420 K"
"sihost.exe","6488","Console","2","63,068 K"
"svchost.exe","652","Console","2","43,980 K"
"SearchIndexer.exe","7196","Services","0","35,328 K"
"svchost.exe","7280","Services","0","34,632 K"
"explorer.exe","7552","Console","2","154,152 K"
"SystemPropertiesPerformance.exe","7600","Console","2","16,292 K"
"ShellHost.exe","7636","Console","2","49,092 K"
"svchost.exe","7748","Services","0","17,412 K"
"CrossDeviceResume.exe","7800","Console","2","57,404 K"
"svchost.exe","7876","Services","0","32,288 K"
"taskhostw.exe","8120","Console","2","22,356 K"
"ctfmon.exe","7668","Console","2","41,720 K"
"svchost.exe","6896","Services","0","10,824 K"
"svchost.exe","2288","Console","2","24,740 K"
"StartMenuExperienceHost.exe","3248","Console","2","182,696 K"
"SearchHost.exe","2832","Console","2","152,416 K"
"RuntimeBroker.exe","8424","Console","2","63,264 K"
"WWAHost.exe","8548","Console","2","321,872 K"
"svchost.exe","8604","Console","2","37,024 K"
